age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
39, Private, 9th,5, Married-civ-spouse, Other-service, Wife, Black, Female,3411,0,34, United-States
77, Private, 9th,5, Married-civ-spouse, Priv-house-serv, Wife, Black, Female,0,0,10, United-States
38, Private, 9th,5, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,24, Haiti
28, Private, 9th,5, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,40, United-States
37, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,48, United-States
35, ?, 9th,5, Married-civ-spouse, ?, Wife, White, Female,0,0,35, United-States
45, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States
55, Private, 9th,5, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,23, United-States
27, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,37, Portugal
31, Private, 9th,5, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States
30, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Portugal
28, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States
46, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States
70, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,2653,0,40, United-States
31, Private, 9th,5, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,42, United-States
40, Local-gov, 9th,5, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Yugoslavia
52, Local-gov, 9th,5, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States
46, Self-emp-inc, 9th,5, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,50, United-States
41, Self-emp-inc, 9th,5, Married-civ-spouse, Sales, Wife, White, Female,0,0,70, Dominican-Republic
41, ?, 9th,5, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female,0,0,40, Hong
72, Private, 9th,5, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,48, United-States
75, ?, 9th,5, Married-civ-spouse, ?, Husband, Black, Male,1409,0,5, United-States
77, ?, 9th,5, Married-civ-spouse, ?, Husband, Black, Male,0,0,40, United-States
66, ?, 9th,5, Married-civ-spouse, ?, Husband, Black, Male,0,0,40, United-States
45, Private, 9th,5, Married-civ-spouse, Adm-clerical, Husband, Black, Male,5178,0,40, United-States
57, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
57, Private, 9th,5, Married-civ-spouse, Sales, Husband, Black, Male,0,0,55, United-States
47, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,56, ?
61, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,20, Trinadad&Tobago
63, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States
32, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States
56, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States
38, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States
58, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,3781,0,40, United-States
44, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
53, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
44, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
62, Private, 9th,5, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,42, United-States
68, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,44, United-States
